velocity,Distance,Speed,SR,SplitD
3.09,19.97458333,3.161714003,,0.04291666667
3.16,20.01847222,3.144456231,,0.04388888889
3.24,20.06347222,3.132182803,,0.045
3.32,20.10958333,3.126906192,21.64492379,0.04611111111
3.37,20.15638889,3.129698103,,0.04680555556
3.38,20.20333333,3.140159626,,0.04694444444
3.37,20.25013889,3.156532019,,0.04680555556
3.38,20.29708333,3.1767377,,0.04694444444
3.39,20.34416667,3.199262586,,0.04708333333
3.4,20.39138889,3.223069784,,0.04722222222
3.41,20.43875,3.24733587,,0.04736111111
3.39,20.48583333,3.2711547,,0.04708333333
3.37,20.53263889,3.293318516,,0.04680555556
3.39,20.57972222,3.313073496,,0.04708333333
3.42,20.62722222,3.330760154,,0.0475
3.46,20.67527778,3.347344768,,0.04805555556
3.5,20.72388889,3.363863882,,0.04861111111
3.53,20.77291667,3.381096434,,0.04902777778
3.55,20.82222222,3.399327488,,0.04930555556
3.53,20.87125,3.418098316,,0.04902777778
3.49,20.91972222,3.436046199,,0.04847222222
3.43,20.96736111,3.451271542,,0.04763888889
3.39,21.01444444,3.462086721,,0.04708333333
3.43,21.06208333,3.468296257,,0.04763888889
3.48,21.11041667,3.471647377,,0.04833333333
3.46,21.15847222,3.473825529,,0.04805555556
3.42,21.20597222,3.474773181,,0.0475
3.33,21.25222222,3.473038231,,0.04625
3.27,21.29763889,3.466812565,,0.04541666667
3.35,21.34416667,3.456267649,,0.04652777778
3.46,21.39222222,3.444778081,,0.04805555556
3.5,21.44083333,3.436087522,,0.04861111111
3.53,21.48986111,3.431808638,31.35639459,0.04902777778
3.59,21.53972222,3.432444128,,0.04986111111
3.63,21.59013889,3.438464573,,0.05041666667
3.63,21.64055556,3.449572529,,0.05041666667
3.63,21.69097222,3.464451686,,0.05041666667
3.66,21.74180556,3.481887973,,0.05083333333
3.71,21.79333333,3.501605759,,0.05152777778
3.74,21.84527778,3.523769919,,0.05194444444
3.77,21.89763889,3.54823335,,0.05236111111
3.73,21.94944444,3.573984563,,0.05180555556
3.7,22.00083333,3.599037818,,0.05138888889
3.74,22.05277778,3.622112519,,0.05194444444
3.76,22.105,3.643502322,,0.05222222222
3.67,22.15597222,3.662761604,,0.05097222222
3.57,22.20555556,3.6773625,,0.04958333333
3.58,22.25527778,3.685398765,,0.04972222222
3.61,22.30541667,3.687770583,,0.05013888889
3.62,22.35569444,3.686539367,,0.05027777778
3.62,22.40597222,3.683107861,,0.05027777778
3.62,22.45625,3.67824351,,0.05027777778
3.61,22.50638889,3.672391625,,0.05013888889
3.61,22.55652778,3.665830859,,0.05013888889
3.6,22.60652778,3.658795736,,0.05
3.54,22.65569444,3.65093405,,0.04916666667
3.47,22.70388889,3.640921683,,0.04819444444
3.42,22.75138889,3.627390507,,0.0475
3.4,22.79861111,3.609988573,,0.04722222222
3.44,22.84638889,3.589864893,,0.04777777778
3.48,22.89472222,3.569342066,,0.04833333333
3.46,22.94277778,3.550174644,,0.04805555556
3.43,22.99041667,3.532446696,,0.04763888889
3.42,23.03791667,3.515623743,,0.0475
3.43,23.08555556,3.499726762,,0.04763888889
3.46,23.13361111,3.485464678,,0.04805555556
3.5,23.18222222,3.473945189,,0.04861111111
3.54,23.23138889,3.466261919,,0.04916666667
3.57,23.28097222,3.463094769,37.40421456,0.04958333333
3.57,23.33055556,3.464334692,,0.04958333333
3.57,23.38013889,3.469103819,,0.04958333333
3.62,23.43041667,3.476797923,,0.05027777778
3.67,23.48138889,3.487766602,,0.05097222222
3.69,23.53263889,3.502334474,,0.05125
3.71,23.58416667,3.520068787,,0.05152777778
3.72,23.63583333,3.540166822,,0.05166666667
3.73,23.68763889,3.561759575,,0.05180555556
3.75,23.73972222,3.584141686,,0.05208333333
3.78,23.79222222,3.607028594,,0.0525
3.8,23.845,3.630370483,,0.05277777778
3.79,23.89763889,3.653750065,,0.05263888889
3.73,23.94944444,3.675763055,,0.05180555556
3.66,24.00027778,3.694135048,,0.05083333333
3.66,24.05111111,3.707294426,,0.05083333333
3.67,24.10208333,3.715525215,,0.05097222222
3.67,24.15305556,3.719946182,,0.05097222222
3.66,24.20388889,3.721352232,,0.05083333333
3.64,24.25444444,3.720085031,,0.05055555556
3.62,24.30472222,3.716225134,,0.05027777778
3.64,24.35527778,3.710199686,,0.05055555556
3.66,24.40611111,3.703134264,,0.05083333333
3.66,24.45694444,3.696091637,,0.05083333333
3.65,24.50763889,3.689412897,,0.05069444444
3.64,24.55819444,3.682976927,,0.05055555556
3.65,24.60888889,3.676775022,,0.05069444444
3.68,24.66,3.671337302,,0.05111111111
3.73,24.71180556,3.667760011,,0.05180555556
3.77,24.76416667,3.667251106,38.69731801,0.05236111111
3.8,24.81694444,3.670513196,,0.05277777778
3.79,24.86958333,3.677299609,,0.05263888889
3.8,24.92236111,3.686661453,,0.05277777778
3.87,24.97611111,3.698339384,,0.05375
3.93,25.03069444,3.713236083,,0.05458333333
3.92,25.08513889,3.731638268,,0.05444444444
3.89,25.13916667,3.752088762,,0.05402777778
3.86,25.19277778,3.772421999,,0.05361111111
3.84,25.24611111,3.790928985,,0.05333333333
3.86,25.29972222,3.806940887,,0.05361111111
3.89,25.35375,3.820955889,,0.05402777778
3.93,25.40833333,3.834055793,,0.05458333333
3.95,25.46319444,3.847175183,,0.05486111111
3.96,25.51819444,3.860650092,,0.055
3.94,25.57291667,3.874083344,,0.05472222222
3.89,25.62694444,3.886270321,,0.05402777778
3.84,25.68027778,3.895536121,,0.05333333333
3.86,25.73388889,3.901095532,,0.05361111111
3.88,25.78777778,3.903767,,0.05388888889
3.83,25.84097222,3.904268643,,0.05319444444
3.78,25.89347222,3.901945315,,0.0525
3.74,25.94541667,3.895863713,,0.05194444444
3.73,25.99722222,3.8859155,,0.05180555556
3.78,26.04972222,3.873341188,,0.0525
3.81,26.10263889,3.860346732,,0.05291666667
3.74,26.15458333,3.847873202,,0.05194444444
3.66,26.20541667,3.83451697,,0.05083333333
3.64,26.25597222,3.8187134,,0.05055555556
3.64,26.30652778,3.800560389,,0.05055555556
3.65,26.35722222,3.7812161,,0.05069444444
3.67,26.40819444,3.762045789,,0.05097222222
3.66,26.45902778,3.744065958,,0.05083333333
3.67,26.51,3.727722311,,0.05097222222
3.74,26.56194444,3.713925303,,0.05194444444
3.82,26.615,3.704627339,,0.05305555556
3.84,26.66833333,3.701309331,36.01532567,0.05333333333
3.86,26.72194444,3.703863987,,0.05361111111
3.9,26.77611111,3.711634063,,0.05416666667
3.92,26.83055556,3.724119336,,0.05444444444
3.88,26.88444444,3.740046822,,0.05388888889
3.83,26.93763889,3.756974862,,0.05319444444
3.83,26.99083333,3.772765272,,0.05319444444
3.85,27.04430556,3.786856948,,0.05347222222
3.88,27.09819444,3.799799833,,0.05388888889
3.91,27.1525,3.812411116,,0.05430555556
3.92,27.20694444,3.825224213,,0.05444444444
3.91,27.26125,3.838086268,,0.05430555556
3.89,27.31527778,3.850244983,,0.05402777778
3.86,27.36888889,3.860708022,,0.05361111111
3.88,27.42277778,3.868975289,,0.05388888889
3.89,27.47680556,3.875478782,,0.05402777778
3.9,27.53097222,3.88087882,,0.05416666667
3.88,27.58486111,3.885346776,,0.05388888889
3.85,27.63833333,3.888408907,,0.05347222222
3.82,27.69138889,3.8893071,,0.05305555556
3.81,27.74430556,3.887642892,,0.05291666667
3.82,27.79736111,3.883756034,,0.05305555556
3.85,27.85083333,3.8787087,,0.05347222222
3.89,27.90486111,3.873974828,,0.05402777778
3.89,27.95888889,3.870647275,,0.05402777778
3.87,28.01263889,3.868675958,,0.05375
3.82,28.06569444,3.866974631,,0.05305555556
3.78,28.11819444,3.864083685,,0.0525
3.79,28.17083333,3.859316273,,0.05263888889
3.8,28.22361111,3.853225452,,0.05277777778
3.79,28.27625,3.846546235,,0.05263888889
3.77,28.32861111,3.83939637,,0.05236111111
3.76,28.38083333,3.831608609,,0.05222222222
3.75,28.43291667,3.823171691,,0.05208333333
3.74,28.48486111,3.814191628,,0.05194444444
3.73,28.53666667,3.804767585,,0.05180555556
3.75,28.58875,3.795262562,,0.05208333333
3.76,28.64097222,3.786405741,,0.05222222222
3.74,28.69291667,3.778538141,,0.05194444444
3.71,28.74444444,3.771152433,,0.05152777778
3.71,28.79597222,3.763669307,,0.05152777778
3.71,28.8475,3.756112585,,0.05152777778
3.71,28.89902778,3.748775359,,0.05152777778
